Date,Plantation,Lag1_Soya_Price,Soya_Price,Interest_Rate,Lag3_Milho_Price
9/1/2015,324.8073890935822,378.78,367.49,15.2022,166.72
10/1/2015,76.8350895787803,367.49,375.95,15.2552,179.6
11/1/2015,12.45752132763755,375.95,368.0,15.3218,162.59
12/1/2015,0.0,368.0,368.42,14.6346,165.62
1/1/2016,0.0,368.42,373.08,14.634,171.39
2/1/2016,0.0,373.08,373.75,13.554,166.16
3/1/2016,0.0,373.75,380.97,13.8614,163.95
4/1/2016,0.0,380.97,395.14,13.935,161.03
5/1/2016,0.0,395.14,422.55,13.9821,159.68
6/1/2016,0.0,422.55,457.4,13.614,159.14
7/1/2016,0.0,457.4,431.08,13.690999999999999,164.41
8/1/2016,0.0,431.08,412.17,13.6674,168.96
9/1/2016,310.0935874602123,412.17,403.53,13.3671,179.87
10/1/2016,172.8177421096566,403.53,401.87,12.5727,161.76
11/1/2016,24.788670430131106,401.87,397.76,12.3966,150.15
12/1/2016,0.0,397.76,416.07,12.27,148.43
1/1/2017,0.0,416.07,412.0,10.7447,152.26
2/1/2017,0.0,412.0,394.53,10.0616,151.8
3/1/2017,0.0,394.53,383.68,10.2771,152.45
4/1/2017,0.0,383.68,387.44,9.8839,159.99
5/1/2017,0.0,387.44,389.72,11.0799,162.86
6/1/2017,0.0,389.72,378.59,11.7515,158.96
7/1/2017,0.0,378.59,410.23,9.5267,156.44
8/1/2017,11.827129768801903,410.23,392.87,7.6146,158.59
9/1/2017,185.14669424220887,392.87,393.95,7.1322,157.93
10/1/2017,126.75193057633385,393.95,396.52,7.0838,157.51
11/1/2017,6.274245412655375,396.52,393.85,6.8020000000000005,148.5
12/1/2017,0.0,393.85,387.15,6.7314,147.29
1/1/2018,0.0,387.15,389.53,9.2838,148.62
2/1/2018,0.0,389.53,416.28,6.6976,148.7
3/1/2018,0.0,416.28,430.11,6.1764,148.98
4/1/2018,0.0,430.11,439.07,6.14,155.84
5/1/2018,0.0,439.07,430.32,6.4489,163.36
6/1/2018,0.0,430.32,394.44,10.074,172.0
7/1/2018,0.0,394.44,377.17,6.9472,175.6
8/1/2018,10.31336862202712,377.17,376.77,8.1955,179.09
9/1/2018,88.22166506694543,376.77,356.87,7.8964,165.07
10/1/2018,244.7797916214697,356.87,367.96,7.1172,156.46
11/1/2018,14.385174689557743,367.96,374.04,6.4022,162.37
12/1/2018,0.0,374.04,380.53,6.3324,154.8
1/1/2019,0.0,380.53,382.35,6.4995,160.26
2/1/2019,0.0,382.35,380.75,6.5843,160.69
3/1/2019,0.0,380.75,363.803071324242,5.910311887362631,167.44
4/1/2019,0.0,363.803071324242,369.51807217983804,6.411489078073469,166.74
5/1/2019,0.0,369.51807217983804,370.63768379245005,5.983559877051059,169.52
6/1/2019,0.0,370.63768379245005,369.65859785761705,6.74214324047129,170.79959271010298
7/1/2019,0.0,369.65859785761705,375.94162402083504,5.840935944235441,169.77749508851102
8/1/2019,0.0,375.94162402083504,373.153579417723,5.96477314473763,169.929585606075
9/1/2019,0.0,373.153579417723,367.679791222964,5.55932386833838,168.576985187654
10/1/2019,0.0,367.679791222964,361.18066873260597,5.4527880737359,171.254936037046
11/1/2019,0.0,361.18066873260597,363.07582677412995,5.78982606652536,163.019992693414
12/1/2019,0.0,363.07582677412995,369.576379599759,5.56342277491543,157.524338264814
